year,month,day,hour,min,sec,swvel
2018,5,28,21,0,0,0.0566511433253888
2018,5,28,21,10,0,0.0567830307587597
2018,5,28,21,20,0,0.0553582687388754
2018,5,28,21,30,0,0.0525497846694022
2018,5,28,21,40,0,0.0485783406615829
2018,5,28,21,50,0,0.0437052989502959
2018,5,28,22,0,0,0.0382239616685839
2018,5,28,22,10,0,0.0324499867476836
2018,5,28,22,20,0,0.0267110077989712
2018,5,28,22,30,0,0.0213358149095656
2018,5,28,22,40,0,0.0166434705323435
2018,5,28,22,50,0,0.0129327043895135
2018,5,28,23,0,0,0.0104719393100601
2018,5,28,23,10,0,0.00949013606370819
2018,5,28,23,20,0,0.0101690344583116
2018,5,28,23,30,0,0.0126369524400114
2018,5,28,23,40,0,0.0169643564069969
2018,5,28,23,50,0,0.0231610938554981
2018,5,29,0,0,0,0.0311756512489739
2018,5,29,0,10,0,0.0408964522392906
2018,5,29,0,20,0,0.0521550379495883
2018,5,29,0,30,0,0.0647312019794294
2018,5,29,0,40,0,0.0783596316035868
2018,5,29,0,50,0,0.0927379546138026
2018,5,29,1,0,0,0.107536009309488
2018,5,29,1,10,0,0.122405933543853
2018,5,29,1,20,0,0.13699287369352
2018,5,29,1,30,0,0.150945591295665
2018,5,29,1,40,0,0.163926915767678
2018,5,29,1,50,0,0.175623632764811
2018,5,29,2,0,0,0.185755472696891
2018,5,29,2,10,0,0.194082815574171
2018,5,29,2,20,0,0.200413061851783
2018,5,29,2,30,0,0.204605409185951
2018,5,29,2,40,0,0.206573922887942
2018,5,29,2,50,0,0.206289012493205
2018,5,29,3,0,0,0.203777114539962
2018,5,29,3,10,0,0.199118558648906
2018,5,29,3,20,0,0.192443920162325
2018,5,29,3,30,0,0.183929110518459
2018,5,29,3,40,0,0.173789272161222
2018,5,29,3,50,0,0.162271694690148
2018,5,29,4,0,0,0.149648006916855
2018,5,29,4,10,0,0.136205930837396
2018,5,29,4,20,0,0.122240915084455
2018,5,29,4,30,0,0.108047940877811
2018,5,29,4,40,0,0.0939135861574637
2018,5,29,4,50,0,0.0801087534192032
2018,5,29,5,0,0,0.0668824603563697
2018,5,29,5,10,0,0.0544565737617968
2018,5,29,5,20,0,0.0430217071926958
2018,5,29,5,30,0,0.0327344157547589
2018,5,29,5,40,0,0.0237155334548767
2018,5,29,5,50,0,0.0160497265166478
2018,5,29,6,0,0,0.00978613713404471
2018,5,29,6,10,0,0.00494010700050869
2018,5,29,6,20,0,0.00149575923648976
2018,5,29,6,30,0,-0.00059057955276362
2018,5,29,6,40,0,-0.00138651804660117
2018,5,29,6,50,0,-0.000979360011590213
2018,5,29,7,0,0,0.000528363536511894
2018,5,29,7,10,0,0.00302329568972448
2018,5,29,7,20,0,0.00638564454214079
2018,5,29,7,30,0,0.0104932901641375
2018,5,29,7,40,0,0.0152254175348263
2018,5,29,7,50,0,0.0204656447629566
2018,5,29,8,0,0,0.0261046563531871
2018,5,29,8,10,0,0.0320422311551832
2018,5,29,8,20,0,0.0381886147977532
2018,5,29,8,30,0,0.0444653888175761
2018,5,29,8,40,0,0.0508057115819519
2018,5,29,8,50,0,0.057154347733983
2018,5,29,9,0,0,0.0634672198896153
2018,5,29,9,10,0,0.0697106705283792
2018,5,29,9,20,0,0.075860436984427
2018,5,29,9,30,0,0.0819003851433975
